dish,mood,dayStatus,craving,diet,cuisines
Korean Mac and Cheese With Chicken Popcorn,Stressed,Lazy,Light,Non-Veg,Fast Food
Mughlai Grilled Chicken Rice Bowl with Omelette,Tired,Productive,Sweet,Non-Veg,Fast Food
Paneer Tikka Rice Bowl,Sad,Lazy,Light,Veg,North Indian
Chicken Kheema Rice Bowl,Sad,Lazy,Sweet,Non-Veg,Fast Food
Chicken Kofta Rice Bowl with Omelette,Sad,Hectic,Light,Non-Veg,Fast Food
Barbeque Chicken Rice Bowl,Happy,Lazy,Light,Non-Veg,Fast Food
Mushroom Masala Rice Bowl,Sad,Lazy,Heavy,Veg,Fast Food
Creamy Chicken Tikka Rice Bowl,Tired,Productive,Sweet,Non-Veg,Fast Food
Classic Chicken Shawarma Bowl,Happy,Hectic,Sweet,Non-Veg,Fast Food
Mutton Bhuna Rice Bowl,Happy,Productive,Sweet,Non-Veg,Fast Food
Bhuna Chicken Rice Bowl,Tired,Productive,Sweet,Non-Veg,Fast Food
Mughlai Grilled Chicken Rice Bowl with Omelette,Happy,Hectic,Spicy,Non-Veg,Fast Food
Paneer Tikka Rice Bowl,Happy,Lazy,Heavy,Veg,North Indian
Chicken Kheema Rice Bowl,Tired,Lazy,Spicy,Non-Veg,North Indian
Chicken Kofta Rice Bowl with Omelette,Happy,Hectic,Heavy,Non-Veg,North Indian
Barbeque Chicken Rice Bowl,Sad,Lazy,Light,Non-Veg,Snacks
Mushroom Masala Rice Bowl,Happy,Normal,Heavy,Veg,Snacks
Creamy Chicken Tikka Rice Bowl,Sad,Productive,Light,Non-Veg,North Indian
Classic Chicken Shawarma Bowl,Stressed,Hectic,Heavy,Non-Veg,Snacks
Mutton Bhuna Rice Bowl,Sad,Hectic,Heavy,Non-Veg,South Indian
Bhuna Chicken Rice Bowl,Stressed,Lazy,Light,Non-Veg,Fast Food
Roast Vegetables Rice Bowl,Happy,Lazy,Spicy,Veg,Snacks
Mughlai Falafel Rice Bowl,Stressed,Normal,Sweet,Jain,Dessert
Mughlai Egg Curry Rice Bowl,Tired,Normal,Sweet,Non-Veg,Snacks
Classic Rajma Rice Bowl,Sad,Hectic,Light,Veg,North Indian
Dal Makhani Rice Bowl,Tired,Hectic,Light,Non-Veg,North Indian
Pindi Chole Rice Bowl,Happy,Hectic,Heavy,Veg,Chinese
Chicken Lababdar Rice Bowl,Sad,Productive,Heavy,Non-Veg,Chinese
Corn Masala Rice Bowl,Stressed,Lazy,Spicy,Veg,Snacks
Paneer Lababdar Rice Bowl,Sad,Lazy,Spicy,Veg,North Indian
Paneer Tikka Masala Rice Bowl,Sad,Lazy,Light,Veg,North Indian
Good'ol Butter Chicken Rice Bowl,Stressed,Normal,Sweet,Non-Veg,Chinese
Chicken Tikka Masala Rice Bowl,Sad,Hectic,Heavy,Non-Veg,North Indian
Dal Makhani Mini Rice Bowl,Sad,Hectic,Heavy,Jain,North Indian
Classic Rajma Mini Rice Bowl,Happy,Lazy,Sweet,Non-Veg,North Indian
Roast Vegetables Mini Rice Bowl,Sad,Normal,Light,Non-Veg,Fast Food
Corn Masala Mini Rice Bowl,Tired,Lazy,Light,Veg,North Indian
Barbeque Chicken Mini Rice Bowl,Tired,Normal,Spicy,Non-Veg,North Indian
Chicken Tikka Masala Mini Rice Bowl,Sad,Lazy,Light,Non-Veg,North Indian
Paneer Lababdar Mini Rice Bowl,Happy,Productive,Heavy,Veg,North Indian
Good'ol Butter Chicken Mini Rice Bowl,Tired,Productive,Spicy,Non-Veg,North Indian
Pindi Chole Mini Rice Bowl,Sad,Normal,Heavy,Jain,Snacks
Paneer Tikka Masala Mini Rice Bowl,Tired,Productive,Spicy,Veg,North Indian
Creamy Chicken Tikka Mini Rice Bowl,Sad,Normal,Spicy,Non-Veg,North Indian
Chicken Kheema Mini Rice Bowl,Sad,Normal,Light,Non-Veg,Fast Food
Chicken Lababdar Mini Rice Bowl,Stressed,Productive,Sweet,Non-Veg,Snacks
Hot Garlic Mac N Cheese Pasta Bowl With Sausages,Tired,Hectic,Sweet,Jain,South Indian
Chicken Tikka Mac & Cheese Pasta Bowl,Stressed,Normal,Spicy,Non-Veg,North Indian
Mac & Cheese Paneer Tikka Pasta Bowl,Happy,Lazy,Light,Veg,North Indian
Hot Garlic Mac N Cheese Pasta Bowl With Paneer Tikka,Happy,Hectic,Heavy,Veg,North Indian
Pesto Mac N Cheese Pasta Bowl With Sausages,Sad,Lazy,Light,Veg,South Indian
Korean Mac & Cheese With Crispy Paneer,Happy,Lazy,Sweet,Veg,North Indian
Pesto Mac N Cheese Pasta Bowl With Roasted Veggies,Stressed,Lazy,Light,Non-Veg,Chinese
Mac & Cheese Falafel Pasta Bowl,Happy,Productive,Spicy,Jain,Fast Food
Chicken Kheema Mac & Cheese Pasta Bowl,Sad,Productive,Light,Non-Veg,Chinese
Korean Mac & Cheese With Chicken Popcorn,Happy,Lazy,Sweet,Non-Veg,Dessert
Butter Chicken Mac & Cheese Bowl,Happy,Normal,Spicy,Non-Veg,Chinese
Egg Biryani Bowl,Happy,Lazy,Light,Non-Veg,Snacks
Chicken Biryani Bowl (Boneless),Tired,Hectic,Light,Non-Veg,Snacks
Paneer Biryani Bowl,Happy,Productive,Sweet,Veg,North Indian
Veg Biryani Bowl,Tired,Hectic,Light,Jain,North Indian
Gulab Jamun Box (Pack of 10),Sad,Lazy,Heavy,Veg,Dessert
Moong Dal Halwa (80 gm),Tired,Lazy,Sweet,Veg,North Indian
Mango Cheesecake,Tired,Hectic,Heavy,Jain,Dessert
Death by Chocolate Cake Jar,Tired,Productive,Spicy,Non-Veg,Dessert
Chocolate Cheesecake Slice,Tired,Lazy,Sweet,Non-Veg,Dessert
Blueberry Cheesecake,Sad,Lazy,Heavy,Non-Veg,Dessert
Gulab Jamun (Pack of 5),Tired,Lazy,Light,Non-Veg,Dessert
Rich Red Velvet Pastry,Stressed,Hectic,Heavy,Non-Veg,Dessert
Walnut Brownie,Happy,Productive,Sweet,Jain,Dessert
Gulab Jamun (Pack Of 2),Tired,Normal,Light,Jain,Dessert
Choco Chip Pastry,Happy,Hectic,Sweet,Jain,Dessert
Choco Chip Brownie,Stressed,Lazy,Light,Non-Veg,Dessert
Choco Lava Cake,Tired,Hectic,Sweet,Veg,Dessert
Gulab Jamun - Pack of 1,Stressed,Hectic,Heavy,Jain,Dessert
Mutton Haleem,Stressed,Lazy,Heavy,Non-Veg,Chinese
Chicken Haleem,Tired,Lazy,Heavy,Non-Veg,Fast Food
Potato Wedges (Medium),Stressed,Hectic,Light,Veg,Snacks
Chicken Meatball Kebab (5 Pcs),Happy,Productive,Spicy,Non-Veg,Chinese
Chicken Tikki (5 pcs),Tired,Normal,Light,Non-Veg,North Indian
Potato Chilli Shots with Mayo Dip,Tired,Lazy,Spicy,Non-Veg,South Indian
Falafel Nuggets with Mayo Dip,Sad,Productive,Spicy,Veg,South Indian
Pizza Puff (Pack of 2),Happy,Normal,Heavy,Jain,Fast Food
Pizza Puff (Pack of 4),Stressed,Hectic,Light,Jain,Fast Food
Badam Kesar Thandai (Pack of 4),Happy,Hectic,Light,Jain,Chinese
Skimmed Mint Buttermilk,Happy,Normal,Sweet,Non-Veg,North Indian
Badam Kesar Thandai,Happy,Hectic,Sweet,Jain,South Indian
Coca Cola Bottle (475 mL),Happy,Lazy,Spicy,Veg,South Indian
Thums Up Can (330 mL),Sad,Lazy,Sweet,Non-Veg,South Indian
Jeera Masala Soda (350 mL),Happy,Productive,Spicy,Jain,Dessert
Coke Zero 330 ml Can,Happy,Hectic,Heavy,Jain,Snacks
Lemon Soda (250 mL),Sad,Hectic,Sweet,Jain,Dessert
Coke (250 mL),Tired,Productive,Sweet,Non-Veg,Fast Food
Masala Lemonade (200 mL),Stressed,Hectic,Sweet,Non-Veg,North Indian
Lemon Ice Tea (250 mL),Stressed,Productive,Heavy,Veg,Dessert
Chicken Lababdar Rice Bowl (Protein-34g),Happy,Normal,Sweet,Non-Veg,North Indian
Paneer Lababdar Rice Bowl (Protein-21g),Happy,Hectic,Light,Veg,North Indian
Dal Makhni Rice Bowl with Dahi Kebab (Protein-25g),Sad,Productive,Sweet,Non-Veg,North Indian
Good'ol Butter Chicken Rice Bowl (Protein-29g),Tired,Lazy,Heavy,Non-Veg,North Indian
Mughlai Grilled Chicken Rice Bowl with Omelette (Protein-25g),Tired,Lazy,Sweet,Non-Veg,North Indian
Mughlai Chicken Kofta Rice Bowl with Omelette (Protein-29g),Happy,Lazy,Light,Non-Veg,North Indian
Chicken Tikka Masala Rice Bowl (Protein-35g),Tired,Lazy,Light,Non-Veg,North Indian
Chicken Biryani Bowl + Thums Up Combo,Happy,Lazy,Spicy,Non-Veg,Dessert
Mini Bowl Meal Combo,Sad,Lazy,Light,Non-Veg,North Indian
Paneer Tikka Baked Cheese Rice Bowl,Stressed,Hectic,Heavy,Veg,North Indian
Mexican Cheesy Baked Cheese Rice Bowl,Happy,Normal,Sweet,Jain,Chinese
Butter Chicken Baked Cheese Rice Bowl,Stressed,Hectic,Spicy,Non-Veg,Dessert
Chicken Tikka Baked Cheese Rice Bowl,Sad,Hectic,Sweet,Non-Veg,North Indian
Rajma Chawal Bowl,Stressed,Hectic,Sweet,Veg,North Indian
Mini Rajma Chawal Bowl,Happy,Lazy,Sweet,Veg,North Indian
Pesto Mac & Cheese with Roast Veggies Bowl,Stressed,Normal,Spicy,Non-Veg,Dessert
Pesto Mac & Cheese with Chicken Sausage Bowl,Stressed,Productive,Heavy,Non-Veg,Snacks
Hot Garlic Mac & Cheese with Paneer Tikka Bowl,Sad,Normal,Sweet,Veg,North Indian
Hot Garlic Mac & Cheese with Chicken Sausage Bowl,Tired,Normal,Light,Non-Veg,South Indian
Korean Mac and Cheese With Crispy Paneer,Happy,Hectic,Light,Veg,North Indian
Korean Mac and Cheese With Chicken Popcorn,Sad,Hectic,Spicy,Non-Veg,Dessert
Veg Hakka Noodles Bowl.,Sad,Productive,Sweet,Jain,Chinese
Veg Chilli Garlic Noodles Bowl.,Sad,Productive,Sweet,Veg,Chinese
Veg Hakka Noodles Bowl,Sad,Productive,Spicy,Veg,Chinese
Veg Chilli Garlic Noodles Bowl,Sad,Productive,Spicy,Veg,Chinese
Veg Manchurian Bowl,Sad,Lazy,Heavy,Jain,Chinese
Hunan Paneer Bowl,Happy,Hectic,Heavy,Veg,North Indian
Chilli Paneer Bowl,Stressed,Normal,Heavy,Veg,North Indian
Dal Khichadi Bowl,Tired,Normal,Spicy,Jain,North Indian
Rajma Chawal Bowl,Stressed,Normal,Heavy,Veg,North Indian
Dal Makhani Rice Bowl,Happy,Productive,Light,Veg,North Indian
Hunan Paneer Dry - Mini,Stressed,Lazy,Spicy,Veg,North Indian
Hunan Paneer Dry - Full,Happy,Normal,Heavy,Veg,North Indian
Black Pepper Paneer Dry - Full,Happy,Productive,Light,Veg,North Indian
Schezwan Paneer Dry - Mini,Happy,Hectic,Heavy,Veg,Chinese
Schezwan Paneer Dry - Full,Happy,Hectic,Spicy,Veg,Chinese
Paneer Manchurian Dry - Mini,Sad,Normal,Sweet,Veg,Chinese
Paneer Manchurian Dry - Full,Happy,Productive,Spicy,Veg,Chinese
Manchurian Paneer - Bowl,Sad,Lazy,Spicy,Veg,Chinese
Hunan Paneer - Bowl,Sad,Normal,Heavy,Veg,North Indian
Black Pepper Paneer - Bowl,Happy,Hectic,Sweet,Veg,North Indian
Kung Pao Paneer - Bowl,Happy,Lazy,Light,Veg,North Indian
Schezwan Paneer - Bowl,Tired,Productive,Sweet,Veg,Chinese
Veg Manchurian - Bowl,Sad,Productive,Heavy,Non-Veg,Chinese
Chilli Paneer - Bowl,Tired,Lazy,Spicy,Veg,North Indian
Chowmein Veg.,Sad,Normal,Heavy,Jain,North Indian
Veg Fried Rice Bowl.,Tired,Lazy,Light,Jain,Fast Food
Veg Burnt Garlic Fried Rice Bowl.,Tired,Normal,Light,Jain,Snacks
Veg Chilli Garlic Fried Rice Bowl.,Happy,Productive,Sweet,Non-Veg,South Indian
Veg Schezwan Fried Rice Bowl.,Tired,Normal,Light,Non-Veg,Chinese
Veg Hakka Noodles Bowl.,Happy,Normal,Spicy,Veg,Chinese
Veg Chilli Garlic Noodles Bowl.,Tired,Lazy,Light,Non-Veg,Chinese
Veg Burnt Garlic Noodles Bowl.,Stressed,Hectic,Spicy,Jain,Chinese
Veg Schezwan Noodles Bowl.,Tired,Hectic,Spicy,Non-Veg,Chinese
Dal Khichadi Bowl.,Stressed,Productive,Sweet,Jain,North Indian
Rajma Chawal Bowl.,Tired,Lazy,Spicy,Non-Veg,North Indian
Veg Indian Bowls with Dessert & Drinks,Stressed,Normal,Heavy,Jain,Snacks
Veg Chinese Bowls with Dessert,Stressed,Normal,Light,Non-Veg,Chinese
Veg Chinese Bowls with Drinks,Tired,Lazy,Sweet,Non-Veg,Chinese
Veg Chinese Bowls with Dessert & Drinks,Stressed,Normal,Light,Jain,Chinese
Veg Fried Rice Bowl,Happy,Productive,Spicy,Jain,Snacks
Chowmein Veg,Happy,Hectic,Sweet,Non-Veg,Snacks
Veg Burnt Garlic Fried Rice Bowl,Stressed,Hectic,Heavy,Jain,Fast Food
Veg Chilli Garlic Fried Rice Bowl,Sad,Productive,Spicy,Veg,North Indian
Veg Schezwan Fried Rice Bowl,Sad,Hectic,Sweet,Veg,Chinese
Veg Hakka Noodles Bowl,Happy,Lazy,Light,Jain,Chinese
Veg Burnt Garlic Noodles Bowl,Sad,Productive,Spicy,Jain,Chinese
Veg Chilli Garlic Noodles Bowl,Sad,Lazy,Heavy,Non-Veg,Chinese
Veg Schezwan Noodles Bowl,Sad,Hectic,Sweet,Veg,Chinese
Veg Manchurian Bowl with Hakka Noodle,Tired,Lazy,Spicy,Veg,Chinese
Veg Manchurian Bowl,Tired,Productive,Spicy,Jain,Chinese
Manchurian Paneer Bowl,Stressed,Hectic,Light,Veg,Chinese
Hunan Paneer Bowl,Stressed,Hectic,Heavy,Veg,North Indian
Black Pepper Paneer Bowl,Stressed,Hectic,Spicy,Veg,North Indian
Schezwan Paneer Bowl,Stressed,Productive,Sweet,Veg,Chinese
Chilli Paneer Bowl,Stressed,Productive,Heavy,Veg,North Indian
Kung Pao Paneer Bowl,Tired,Normal,Light,Veg,North Indian
Dal Khichadi Bowl,Sad,Hectic,Light,Jain,North Indian
Rajma Chawal Bowl,Tired,Hectic,Heavy,Non-Veg,North Indian
Dal Makhani Rice Bowl,Tired,Normal,Heavy,Jain,North Indian
Desi Chilli Potato - Mini,Stressed,Hectic,Sweet,Non-Veg,North Indian
Desi Chilli Potato - Full,Sad,Hectic,Heavy,Non-Veg,Snacks
Hunan Paneer Dry - Mini,Tired,Productive,Spicy,Veg,North Indian
Hunan Paneer Dry - Full,Tired,Hectic,Light,Veg,North Indian
Black Pepper Paneer Dry - Mini,Stressed,Lazy,Spicy,Veg,North Indian
Black Pepper Paneer Dry - Full,Sad,Normal,Sweet,Veg,North Indian
Schezwan Paneer Dry - Mini,Tired,Lazy,Heavy,Veg,Chinese
Schezwan Paneer Dry - Full,Happy,Normal,Spicy,Veg,Chinese
Kung Pao Paneer Dry - Mini,Happy,Hectic,Spicy,Veg,North Indian
Kung Pao Paneer Dry - Full,Stressed,Productive,Light,Veg,North Indian
Paneer Chilli Dry - Mini,Tired,Lazy,Light,Veg,North Indian
Paneer Chilli Dry - Full,Sad,Hectic,Spicy,Veg,North Indian
Veg Manchurian Dry - Mini,Happy,Hectic,Sweet,Veg,Chinese
Veg Manchurian Dry - Full,Sad,Normal,Light,Veg,Chinese
Veg Manchurian Balls in Choice of Sauce - Full,Happy,Lazy,Light,Non-Veg,Chinese
Paneer Manchurian Dry - Mini,Tired,Hectic,Sweet,Veg,Chinese
Paneer Manchurian Dry - Full,Stressed,Normal,Light,Veg,Chinese
Veg Spring Roll 6pcs - Mini,Stressed,Hectic,Light,Non-Veg,Fast Food
Sweet Chilli Potato - Mini,Stressed,Lazy,Spicy,Veg,Fast Food
Sweet Chilli Potato - Full,Tired,Normal,Sweet,Veg,Snacks
Manchurian Potato - Mini,Stressed,Normal,Sweet,Jain,Chinese
Manchurian Potato - Full,Tired,Hectic,Heavy,Non-Veg,Chinese
Veg Manchow Soup with Crispy Noodles,Stressed,Normal,Spicy,Non-Veg,Chinese
Veg Kurkure Fried Momo with Momo Chutney,Happy,Hectic,Spicy,Non-Veg,Chinese
Chocolate Mousse - Small,Tired,Hectic,Spicy,Non-Veg,Snacks
Black Forest Mousse Cake,Stressed,Productive,Spicy,Veg,Dessert
Salted Caramel Choco Mousse,Sad,Hectic,Sweet,Non-Veg,Snacks
Choco Lava,Happy,Productive,Sweet,Non-Veg,Fast Food
Pepsi Pet Bottle,Happy,Normal,Light,Non-Veg,North Indian
7 Up,Sad,Hectic,Sweet,Veg,Dessert
Coolberg Peach,Happy,Hectic,Spicy,Jain,Chinese
Coolberg Cranberry,Tired,Lazy,Spicy,Veg,South Indian
Peach Ice Tea,Happy,Lazy,Spicy,Non-Veg,South Indian
Aam Panna,Happy,Hectic,Spicy,Non-Veg,Fast Food
Masala Shikanji,Happy,Lazy,Sweet,Jain,Fast Food
Lemon Ice Tea,Sad,Normal,Heavy,Jain,Chinese
Water,Sad,Productive,Light,Non-Veg,Chinese
Extra Crispy Noodles,Stressed,Productive,Spicy,Non-Veg,Chinese
Momo Chutney,Tired,Normal,Sweet,Non-Veg,Dessert
Schezwan Dip,Tired,Hectic,Spicy,Non-Veg,Chinese
Mayo Dip,Sad,Normal,Sweet,Veg,Fast Food
Sweet Chilli Dip,Sad,Productive,Spicy,Non-Veg,Chinese
Farm Aloo Tikki,Sad,Productive,Heavy,Jain,Fast Food
Go Green,Tired,Productive,Light,Jain,South Indian
Crispy Masala,Sad,Lazy,Light,Non-Veg,Fast Food
Popeye,Sad,Hectic,Light,Jain,Dessert
Farm Spicy Paneer,Sad,Lazy,Heavy,Veg,North Indian
Pepper Jack Cheese,Tired,Productive,Sweet,Veg,Chinese
4 Farm Aloo Tikki,Happy,Normal,Sweet,Veg,Chinese
2 Farm Spicy Paneer,Stressed,Lazy,Heavy,Veg,North Indian
2 Crispy Masala,Happy,Normal,Heavy,Veg,Chinese
2 Go Green,Sad,Normal,Sweet,Veg,Dessert
Choco Lava Cake,Sad,Normal,Spicy,Jain,Dessert
Farm Cheese Burst Meal,Happy,Hectic,Heavy,Non-Veg,Dessert
Crispy Paneer Italia Meal,Sad,Normal,Sweet,Veg,North Indian
Crispy Paneer Italia,Stressed,Lazy,Heavy,Veg,North Indian
Regular Crinkle Fries,Tired,Productive,Spicy,Veg,Fast Food
Peri Peri Crinkle Fries,Sad,Hectic,Sweet,Non-Veg,Fast Food
Medium Crinkle Fries,Tired,Productive,Spicy,Jain,Fast Food
Farm Aloo Tikki Meal,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Crispy Masala Meal,Sad,Productive,Sweet,Veg,Fast Food
Go Green Meal,Stressed,Hectic,Heavy,Jain,Snacks
Farm Aloo Tikki Meal,Sad,Normal,Spicy,Jain,Dessert
Cheese Masala Burger Meal,Sad,Lazy,Sweet,Veg,Fast Food
Crispy Masala Meal,Sad,Productive,Sweet,Non-Veg,North Indian
Go Green Meal,Stressed,Lazy,Sweet,Jain,Dessert
Farm Spicy Paneer Meal,Stressed,Lazy,Spicy,Veg,North Indian
Pepper Jack Cheese Meal,Happy,Productive,Heavy,Jain,Dessert
Popeye Meal,Stressed,Lazy,Spicy,Veg,Snacks
Super Freak Burger Meal,Happy,Lazy,Sweet,Jain,Fast Food
Farm Spicy Paneer Supreme Meal,Happy,Productive,Heavy,Veg,North Indian
Farm Aloo Tikki,Happy,Lazy,Sweet,Veg,Snacks
Cheese Masala Burger,Stressed,Productive,Heavy,Jain,Fast Food
Go Green,Sad,Lazy,Spicy,Non-Veg,Chinese
Crispy Masala,Happy,Hectic,Light,Jain,Snacks
Popeye,Tired,Lazy,Spicy,Non-Veg,North Indian
Super Freak Burger,Tired,Productive,Sweet,Veg,Fast Food
Farm Spicy Paneer,Tired,Normal,Spicy,Veg,North Indian
Pepper Jack Cheese,Tired,Hectic,Spicy,Veg,Fast Food
Farm Spicy Paneer Supreme,Tired,Lazy,Spicy,Veg,North Indian
Regular Crinkle Fries,Sad,Productive,Light,Veg,Fast Food
Peri Peri Crinkle Fries,Stressed,Productive,Light,Non-Veg,Fast Food
Cheesy Peri Peri Crinkle fries,Happy,Lazy,Heavy,Veg,Fast Food
Medium Crinkle Fries,Happy,Hectic,Sweet,Veg,Fast Food
Peri Peri Regular Crinkle Fries,Happy,Normal,Heavy,Veg,Fast Food
V Cut Cheesy Peri Peri,Sad,Productive,Light,Non-Veg,Snacks
Onion Rings,Stressed,Hectic,Heavy,Jain,Chinese
Cheddar Cheese Doughnuts,Tired,Normal,Spicy,Jain,North Indian
V Cut peri peri,Sad,Lazy,Sweet,Veg,Snacks
V Cut Med Fries,Sad,Productive,Sweet,Jain,Fast Food
Farm Cheese Burst Meal,Tired,Normal,Spicy,Veg,South Indian
Farm Cheese Burst,Happy,Hectic,Sweet,Veg,South Indian
Crispy Paneer Italia Meal,Sad,Hectic,Heavy,Veg,North Indian
Crispy Paneer Italia,Happy,Lazy,Light,Veg,North Indian
Farm Aloo Tikki Wrap,Tired,Lazy,Spicy,Non-Veg,Fast Food
Cheesy Masala Wrap,Sad,Productive,Heavy,Non-Veg,North Indian
Farm Spicy Paneer Wrap,Stressed,Normal,Light,Veg,North Indian
4 Farm Aloo Tikki,Sad,Normal,Spicy,Jain,Dessert
2 Farm Spicy Paneer,Sad,Lazy,Spicy,Veg,North Indian
2 Crispy Masala,Tired,Productive,Sweet,Non-Veg,Chinese
2 Go Green,Happy,Lazy,Heavy,Non-Veg,Snacks
Farm Aloo Tikki Wrap Meal,Stressed,Hectic,Light,Veg,Fast Food
Farm Spicy Paneer Wrap Meal,Tired,Hectic,Sweet,Veg,North Indian
Cheesy Masala Wrap Meal,Happy,Hectic,Light,Jain,North Indian
Oreo Shake,Sad,Hectic,Spicy,Veg,South Indian
Strawberry Shake,Stressed,Hectic,Light,Veg,North Indian
Gulkand Paan Shake,Sad,Hectic,Heavy,Veg,Chinese
MANGO SHAKE,Stressed,Hectic,Spicy,Non-Veg,Dessert
Masala Coke,Happy,Hectic,Light,Jain,North Indian
Masala Lemonade,Stressed,Hectic,Spicy,Jain,Chinese
Virgin Mojito,Sad,Hectic,Sweet,Jain,South Indian
AAM PANNA,Sad,Hectic,Heavy,Jain,South Indian
CLASSIC FRAPPE,Stressed,Hectic,Sweet,Jain,Snacks
Moccha Frappe,Tired,Lazy,Sweet,Jain,North Indian
Choco Lava Cake,Stressed,Hectic,Heavy,Jain,Dessert
Chole Bhature Combo,Sad,Productive,Spicy,Veg,Dessert
Rajma Chawal Combo,Happy,Lazy,Spicy,Veg,North Indian
Paneer Tikka,Stressed,Productive,Heavy,Veg,North Indian
Chicken 65,Happy,Lazy,Heavy,Non-Veg,Snacks
Chicken Malai Tikka,Happy,Normal,Sweet,Non-Veg,North Indian
Chicken Tikka,Sad,Lazy,Sweet,Non-Veg,North Indian
Punjabi Desi Chicken [500ml],Tired,Hectic,Spicy,Non-Veg,South Indian
Egg Bhurji (2 Egg),Sad,Lazy,Sweet,Non-Veg,Chinese
Punjabi Egg Curry (2 Boiled Egg),Tired,Productive,Spicy,Non-Veg,Dessert
Dal Makhani [500ml],Tired,Hectic,Spicy,Veg,North Indian
Veg Pulao,Tired,Lazy,Light,Non-Veg,Dessert
Veg Fried Rice,Tired,Hectic,Sweet,Veg,South Indian
Veg Biryani,Tired,Lazy,Sweet,Veg,South Indian
Chicken Biryani,Stressed,Hectic,Heavy,Non-Veg,North Indian
Boondi Raita [100ml],Stressed,Productive,Heavy,Jain,Fast Food
Fried Papad,Sad,Productive,Spicy,Veg,Fast Food
Roasted Papad,Sad,Normal,Heavy,Non-Veg,Snacks
Egg Bhurji (2 Egg),Stressed,Normal,Heavy,Non-Veg,Snacks
Punjabi Egg Curry (2 Boiled Egg),Happy,Productive,Spicy,Non-Veg,South Indian
Surati Egg Keema (2 Egg),Stressed,Productive,Light,Non-Veg,Fast Food
Punjabi Omelette (2 Egg),Tired,Hectic,Sweet,Non-Veg,North Indian
Egg Masala Half Fry [2 Egg],Stressed,Lazy,Spicy,Non-Veg,South Indian
Plain Omelette (2 Egg),Happy,Normal,Heavy,Non-Veg,Dessert
Boiled Egg [3 Egg],Tired,Productive,Heavy,Non-Veg,Chinese
Fried Boiled Egg [3 Egg],Sad,Productive,Spicy,Non-Veg,Snacks
Plain Egg Half Fry [2 Egg],Stressed,Normal,Sweet,Non-Veg,Snacks
Masala Omelette (2 Egg),Sad,Hectic,Spicy,Non-Veg,Dessert
Punjabi Egg Gotalo (3 Egg),Stressed,Normal,Sweet,Non-Veg,Snacks
Extra Bread [3 Pcs],Tired,Normal,Heavy,Non-Veg,Chinese
Veg Jaipuri Di Sabzi [500ml],Tired,Normal,Light,Veg,Snacks
Palak Paneer Di Sabzi (500ml),Sad,Hectic,Heavy,Veg,North Indian
Mix Veg Di Sabzi [500ml],Happy,Normal,Spicy,Veg,Fast Food
Aloo Matar Di Sabzi [500ml],Happy,Normal,Spicy,Veg,South Indian
Jeera Aloo Di Sabzi [500ml],Tired,Normal,Spicy,Non-Veg,Snacks
Aloo Methi Di Sabzi [500ml],Sad,Hectic,Spicy,Veg,Fast Food
Rasila Aloo Di Sabzi [500ml],Sad,Productive,Sweet,Veg,Snacks
Aloo Patta Gobhi Di Sabzi [500ml],Sad,Normal,Spicy,Jain,Dessert
Aloo Patta Gobhi Matar Di Sabzi [500ml],Stressed,Productive,Spicy,Veg,North Indian
Aloo Phool Gobhi Di Sabzi [500ml],Tired,Normal,Light,Jain,Dessert
Aloo Phool Gobhi Matar Di Sabzi [500ml],Happy,Normal,Sweet,Jain,Snacks
Sev Tamatar Di Sabzi [500ml],Tired,Normal,Light,Veg,Chinese
Rajma Masaledar Di Sabzi [500ml],Sad,Hectic,Heavy,Non-Veg,North Indian
Pindi Chole Di Sabzi [500ml],Tired,Lazy,Light,Veg,Fast Food
Cheese Butter Masala Di Sabzi [500ml],Tired,Hectic,Spicy,Non-Veg,Dessert
Lucknowi Tawa Paneer Di Sabzi [500ml],Sad,Hectic,Heavy,Veg,North Indian
Veg Makhanwala Di Sabzi (500ml),Tired,Hectic,Sweet,Veg,North Indian
Paneer Angara Di Sabzi (500ml),Happy,Hectic,Light,Veg,North Indian
Paneer Lababdar Di Sabzi (500ml),Tired,Hectic,Spicy,Veg,North Indian
Paneer Do Pyaza Di Sabzi (500ml),Stressed,Productive,Spicy,Veg,North Indian
Paneer Toofani Di Sabzi(500ml),Stressed,Lazy,Heavy,Veg,North Indian
Paneer Bhurji Di Sabzi (500ml),Tired,Productive,Light,Veg,North Indian
Matar Paneer Di Sabzi (500ml),Stressed,Hectic,Light,Veg,North Indian
Paneer Patiala Di Sabzi (500ml),Happy,Productive,Sweet,Veg,North Indian
Paneer Tikka Masala Di Sabzi (500ml),Happy,Hectic,Light,Veg,North Indian
Paneer Butter Masala Di Sabzi (500ml),Tired,Productive,Light,Veg,North Indian
Paneer Kadai Di Sabzi [500gm],Sad,Normal,Heavy,Veg,North Indian
Paneer Handi Di Sabzi (500ml),Stressed,Hectic,Spicy,Veg,North Indian
Paneer Hyderabadi Di Sabzi [500ml],Sad,Hectic,Light,Veg,North Indian
Sarson Da Saag (500ml),Stressed,Normal,Sweet,Non-Veg,Dessert
Punjabi Desi Chicken [500ml],Stressed,Productive,Light,Non-Veg,South Indian
Chicken Butter Masala [500ml],Stressed,Normal,Heavy,Non-Veg,Dessert
Butter Chicken [500ml],Stressed,Productive,Spicy,Non-Veg,Snacks
